ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
7.4,8.08,-18.57,-21.85,16.18,-15.91,-2.065186,3.253044,-31.45078
7.4,8.08,-18.57,-21.85,16.18,-15.91,-2.065186,3.253044,-31.45078
9.02,6.71,-18.38,-22.97,14.97,-14.83,-2.560577,2.758644,-30.6639
9.02,6.71,-18.38,-22.97,14.97,-14.83,-2.560577,2.758644,-30.6639
9.02,6.71,-18.38,-22.97,14.97,-14.83,-2.560577,2.758644,-30.6639
9.33,7.98,-18.41,-25.11,17.11,-14.83,-2.680023,2.474258,-29.74562
9.33,7.98,-18.41,-25.11,17.11,-14.83,-2.680023,2.474258,-29.74562
9,9.76,-16.21,-25.58,19.12,-15.87,-1.93924,2.374969,-28.44389
9,9.76,-16.21,-25.58,19.12,-15.87,-1.93924,2.374969,-28.44389
8.04,15.01,-16.97,-24.7,20.52,-16.73,-1.291687,2.107216,-27.44682
8.04,15.01,-16.97,-24.7,20.52,-16.73,-1.291687,2.107216,-27.44682
4.28,21.35,-7.03,-23.33,22.2,-16.87,-0.7795105,1.747925,-26.59911
4.28,21.35,-7.03,-23.33,22.2,-16.87,-0.7795105,1.747925,-26.59911
4.28,21.35,-7.03,-23.33,22.2,-16.87,-0.7795105,1.747925,-26.59911
1.49,26.97,-2.2,-21.63,27.29,-15.78,-0.184906,1.543335,-25.86633
1.49,26.97,-2.2,-21.63,27.29,-15.78,-0.184906,1.543335,-25.86633
-5.24,39.93,-1.16,-16.53,25.69,-16.2,0.1651094,1.323845,-25.56046
-5.24,39.93,-1.16,-16.53,25.69,-16.2,0.1651094,1.323845,-25.56046
-8.68,46.32,3.46,-10.93,23.6,-16.86,0.4759718,1.13752,-25.36946
-8.68,46.32,3.46,-10.93,23.6,-16.86,0.4759718,1.13752,-25.36946
-14.88,56.5,-1.14,-8.5,26.08,-19.96,0.6510718,1.465065,-25.29772
-14.88,56.5,-1.14,-8.5,26.08,-19.96,0.6510718,1.465065,-25.29772
-17.58,59.57,-4.65,-6.44,25.21,-20.53,0.6109129,1.986595,-25.19385
-17.58,59.57,-4.65,-6.44,25.21,-20.53,0.6109129,1.986595,-25.19385
-17.58,59.57,-4.65,-6.44,25.21,-20.53,0.6109129,1.986595,-25.19385
