匀速步行,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-8.91,40.31,4.17,-17.11,27.41,-8.83,0.8617793,-2.460907,1.101501
-8.91,40.31,4.17,-17.11,27.41,-8.83,0.8617793,-2.460907,1.101501
-12.12,46.46,5.61,-14.75,27.76,-11.5,1.069091,-2.397202,1.385674
-12.12,46.46,5.61,-14.75,27.76,-11.5,1.229471,-2.275993,1.684425
-15.08,52.26,4.46,-14.75,28.56,-12.29,1.325777,-2.242859,1.824921
-15.08,52.26,4.46,-14.75,28.56,-12.29,1.325777,-2.242859,1.824921
-17.53,54.71,4.46,-14.75,28.56,-12.29,1.449355,-2.279434,1.953918
-19.52,60.51,0.64,-14.75,29.18,-12.92,1.586345,-2.354645,2.057419
-19.52,60.51,0.64,-14.75,29.18,-12.92,1.586345,-2.354645,2.057419
-19.52,60.51,0.64,-14.75,29.18,-12.92,1.71616,-2.377792,2.127174
-19.52,60.51,0.64,-14.75,29.18,-12.92,1.8204,-2.299088,2.158813
-19.52,60.51,-0.26,-14.75,29.18,-12.88,1.887564,-2.101723,2.156433
-19.52,60.51,-0.26,-14.75,29.18,-12.88,1.887564,-2.101723,2.156433
-21.43,61.36,-2.22,-12.6,27.47,-13.26,1.928219,-1.89592,2.129921
-21.43,61.36,-14.34,-12.6,27.79,-13.42,1.945699,-1.741592,2.079552
-21.43,61.36,-14.34,-12.6,27.79,-13.42,1.960729,-1.631966,2.009262
-21.43,61.36,-14.34,-12.6,27.79,-13.42,1.960729,-1.631966,2.009262
-25.13,60.72,-14.83,-8.87,24.27,-13.56,2.015402,-1.495216,1.941093
-25.13,60.72,-14.83,-8.87,24.27,-13.56,2.144416,-1.343216,1.884094
-25.13,60.72,-14.83,-8.87,24.27,-13.56,2.144416,-1.343216,1.884094
-26.51,59.2,-18.44,-7.09,22.79,-13.71,2.460701,-1.124748,1.79409
-27.5,57.66,-29.23,-5.04,20.9,-13.57,2.785799,-0.8997192,1.765381
-27.5,57.66,-29.23,-5.04,20.9,-13.57,3.272263,-0.669426,1.839165
-27.5,57.66,-29.23,-5.04,20.9,-13.57,3.272263,-0.669426,1.839165
-28.19,54.38,-30.22,0.26,15.78,-13.63,3.839618,-0.561615,2.032234
-28.19,54.38,-30.22,0.26,15.78,-13.63,4.275892,-0.3756332,2.167839
-28.19,54.38,-30.22,0.26,15.78,-13.63,4.275892,-0.3756332,2.167839
-27.76,43.52,-27.02,2.83,13.43,-13.64,4.412243,-0.2691422,2.254387
-27.28,35.88,-29.01,5.34,11,-13.26,4.373602,-0.2804184,2.197891
-27.28,35.88,-29.01,5.34,11,-13.26,4.397178,-0.4720535,2.002159
-27.28,35.88,-29.01,5.34,11,-13.26,4.397178,-0.4720535,2.002159
-26.9,28.39,-24.83,8.2,8.21,-12.95,4.627603,-0.7756882,1.741661
-27.28,19.25,-16.79,8.66,8.43,-13.09,4.986437,-1.166763,1.478165
-27.28,19.25,-16.79,8.66,8.43,-13.09,4.986437,-1.166763,1.478165
-28.09,17.6,-12.07,8.6,9.45,-11.89,5.274144,-1.418755,1.316994
-28.09,17.6,-12.07,8.6,9.45,-11.89,5.20761,-1.459099,1.365387
-28.09,17.6,-12.07,8.6,9.45,-11.89,5.033168,-1.425156,1.446983
-28.09,17.6,-12.07,8.6,9.45,-11.89,5.033168,-1.425156,1.446983
-30.16,19.23,-8.33,7.14,12.43,-11.39,4.239127,-1.254433,1.673073
-30.77,22.68,-7.14,5.72,18.38,-12.91,3.650295,-1.139709,1.723694
-30.77,22.68,-7.14,5.72,18.38,-12.91,3.650295,-1.139709,1.723694
-30.68,25.55,-3.26,3.75,23.08,-5.43,3.181854,-1.142807,1.679565
-30.68,25.55,-3.26,3.75,23.08,-5.43,2.876374,-1.211266,1.556725
-30.68,25.55,-3.26,3.75,23.08,-5.43,2.704396,-1.364418,1.419182
-30.68,25.55,-3.26,3.75,23.08,-5.43,2.704396,-1.364418,1.419182
-28.52,26.76,-4.52,-2.52,32.49,-2.19,2.614498,-1.534042,1.320976
-26.28,30.81,-9.8,-5.93,42.51,-2.81,2.554779,-1.717987,1.289467
-23.82,30.87,-11.66,-9.08,48.69,1.37,2.462824,-1.90905,1.362328
-23.82,30.87,-11.66,-9.08,48.69,1.37,2.462824,-1.90905,1.362328
-23.82,30.87,-11.66,-9.08,48.69,1.37,2.337412,-2.11898,1.511116
-23.82,30.87,-11.66,-9.08,48.69,1.37,2.216218,-2.255066,1.70697
-23.82,30.87,-11.66,-9.08,48.69,1.37,2.216218,-2.255066,1.70697
-18.92,27.8,-13.27,-14.22,56.19,-1.37,2.063946,-2.257675,2.065918
-16.81,27.88,-15.18,-15.89,59.06,-5.18,2.02761,-2.125717,2.239906
-15,26.8,-15.33,-17.48,59.45,-13.58,2.074818,-1.919586,2.378189
-15,26.8,-15.33,-17.48,59.45,-13.58,2.074818,-1.919586,2.378189
-15,26.8,-15.33,-17.48,59.45,-13.58,2.159197,-1.771721,2.473473
-11.56,24.02,-15.68,-20.45,60,-17.09,2.205088,-1.667717,2.485344
-11.56,24.02,-15.68,-20.45,60,-17.09,2.205088,-1.667717,2.485344
-11.56,24.02,-15.68,-20.45,60,-17.09,2.174967,-1.624619,2.561386
-9.83,23.04,-16.14,-21.59,53.41,-15.6,2.100927,-1.642685,2.61911
-9.83,23.04,-16.14,-21.59,53.41,-15.6,2.100927,-1.642685,2.61911
-8.14,21.5,-15.72,-23.03,49.79,-17.07,2.042575,-1.598373,2.841583
-8.14,21.5,-15.72,-23.03,49.79,-17.07,2.004473,-1.565216,2.917137
-4.86,18.23,-15.47,-23.18,44.15,-24.23,1.767279,-1.449585,2.989677
-4.86,18.23,-15.47,-23.18,44.15,-24.23,1.767279,-1.449585,2.989677
-3.26,16.53,-15.12,-22.91,30.84,-17.05,1.233822,-1.194511,2.847923
-3.26,16.53,-15.12,-22.91,30.84,-17.05,0.5558505,-0.8865051,2.489136
-1.64,14.87,-14.57,-22.52,23.81,-19.51,-0.1660461,-0.6873093,1.807274
-1.64,14.87,-14.57,-22.52,23.81,-19.51,-0.1660461,-0.6873093,1.807274
-1.64,14.87,-14.57,-22.52,23.81,-19.51,-0.2480774,-0.6903915,1.418755
1.48,11.7,-14.23,-22.32,17.46,-16.04,-0.1497498,-0.8081207,1.192131
2.91,10.07,-13.72,-22.96,13.03,-12.17,-0.138855,-0.9867706,1.123466
2.91,10.07,-13.72,-22.96,13.03,-12.17,-0.138855,-0.9867706,1.123466
4.06,8.91,-12.69,-23.74,9.32,-7.39,-0.3427124,-1.290466,1.18972
4.06,8.91,-12.69,-23.74,9.32,-7.39,-0.733429,-1.528954,1.353203
4.06,8.91,-12.69,-23.74,9.32,-7.39,-0.733429,-1.528954,1.353203
4.06,8.91,-12.69,-23.74,9.32,-7.39,-1.208893,-1.610268,1.479836
4.78,8.38,-11.98,-25.33,11.59,-4.28,-1.563538,-1.669983,1.506134
5.03,8.6,-11.17,-25.68,13.68,-2.77,-1.450989,-1.761482,1.400764
5.03,8.6,-11.17,-25.68,13.68,-2.77,-1.450989,-1.761482,1.400764
4.34,11.73,-11.69,-25.61,16.29,-1.94,-1.248016,-1.759499,1.349586
4.34,11.73,-11.69,-25.61,16.29,-1.94,-0.7050781,-1.740578,1.272736
4.34,11.73,-11.69,-25.61,16.29,-1.94,-0.7050781,-1.740578,1.272736
4.34,11.73,-11.69,-25.61,16.29,-1.94,0.1486896,-1.627586,1.282349
3.03,15.03,-6.62,-25.49,22.5,-4.98,0.3781061,-1.591469,1.311958
-1.5,21.97,-3.5,-23.32,23.32,-2.71,0.7324106,-1.528496,1.357605
-1.5,21.97,-3.5,-23.32,23.32,-2.71,0.7324106,-1.528496,1.357605
-4.73,31.39,3.73,-21.42,27.1,-7.06,0.9923391,-1.415276,1.33371
-4.73,31.39,3.73,-21.42,27.1,-7.06,1.036508,-1.39402,1.292542
-4.73,31.39,3.73,-21.42,27.1,-7.06,1.036508,-1.39402,1.292542
-11.5,41.45,6.65,-19.17,26.82,-8.14,1.06822,-1.45472,1.234772
-11.5,41.45,6.65,-19.17,26.82,-8.14,1.140404,-1.523232,1.145409
-14.61,47.75,7.25,-14.2,23.25,-9.38,1.262928,-1.472725,1.019035
-14.61,47.75,7.25,-14.2,23.25,-9.38,1.262928,-1.472725,1.019035
-17.35,55.92,1.67,-12.04,22.77,-10.91,1.416419,-1.191704,0.8787613
-17.35,55.92,1.67,-12.04,22.77,-10.91,1.555898,-0.7859802,0.749527
-21.75,61.64,-3.33,-10.14,21.44,-11.07,1.665658,-0.4595871,0.640152
-21.75,61.64,-3.33,-10.14,21.44,-11.07,1.665658,-0.4595871,0.640152
